Time,cLE,cRE_measured
211.5,35.0575247701658,54.9966443785436
212,34.9639401976913,54.9454645086428
212.5,35.0324801113778,54.925535445762
213,35.0095440549068,54.9463899211318
213.5,34.998124688214,54.997241748426
214,35.0145110812858,54.9331882342579
214.5,35.0147257582953,55.0489813070086
215,34.9766545138023,54.9334317110382
215.5,34.9821669228206,54.9324277271124
216,35.0280520407901,54.9574595018996
216.5,35.0525051064635,54.9591828307282
217,34.9956535491051,54.9020872911251
217.5,35.0426227662621,54.9256406307995
218,34.9932315488297,55.0089385357798
218.5,34.9982771616645,54.9960357997282
219,35.0067745064318,54.966123298971
219.5,35.0229994895289,55.0325567408503
220,35.0041313854219,54.9672310621437
220.5,35.0081033974174,54.961464659164
221,35.0491502013083,54.9857680104441
221.5,34.9931123416343,54.8911925941917
222,35.026281403094,54.9752352976462
222.5,35.024193599119,54.9879034812811
223,34.9993172212099,54.9833806214994
223.5,34.9875435334361,54.9128333923061
224,35.0128040118583,54.9268569847696
224.5,34.9812236505,54.9301674895104
225,34.9714482626143,54.9394493731641
225.5,35.0283719336739,54.9684821253831
226,34.9989677730444,54.9350639091067
226.5,34.9873925757921,54.9116035982734
227,34.9865621121037,55.0039781576278
227.5,35.0062463757307,54.9723524622787
228,35.051114199357,54.9712660337088
228.5,35.0038285556687,54.9581312232038
229,34.9570487333185,54.9317903670296
229.5,35.028744111334,54.9427168339812
230,35.011899754036,54.918058021222
230.5,35.0465582916972,54.9229696590492
231,34.990445908739,54.9447425896846
231.5,34.9688292176175,54.922016864797
232,34.9493590869798,54.9469854703882
232.5,35.0196216355046,54.9233973801286
233,35.0040135971738,54.9681449621532
233.5,34.9797716963807,54.9984675928541
234,35.0082287209613,55.0187412581625
234.5,34.9522673731044,54.9869317661055
235,35.0099254257184,54.9298927313952
235.5,35.0074119126048,54.9538955023045
236,35.0118688251449,54.9651489641605
236.5,35.0343833472475,54.9531245574839
237,35.0226160103549,54.9357051723008
237.5,34.9833153641783,54.9638652432767
238,34.9926031225694,54.9511938138292
238.5,34.9580633967025,54.9228847678529
239,34.9302669995724,54.8619700094565
239.5,34.9689957464147,54.9738826909475
240,34.9679572335731,54.981326286616
240.5,34.9913536219401,54.9400827310524
241,34.9319757349427,54.9342612837417
241.5,35.0150235919557,54.9162858680906
242,34.9691924800257,54.965189288341
242.5,35.000013305201,54.9605357868495
243,35.016749393553,54.9770664570687
243.5,35.0142441401646,54.972931508732
244,34.9620273003794,54.9093817936946
244.5,35.0618314045014,55.0279762648901
245,34.9803415871748,54.9773965276309
245.5,35.0263450305936,54.9546943446204
246,35.0063821132482,54.9433710476809
246.5,35.0420540042787,54.9205058139473
247,35.0410580596149,55.0025304967408
247.5,35.0598647432686,54.9921116731742
248,34.9886565592727,55.0227617402206
248.5,34.9851948675553,54.9693171834441
249,34.9500670445108,54.929144876646
249.5,34.9697879608035,54.9133684591271
250,35.0117757705608,54.9713019876838
250.5,35.04792968795,54.984974932028
251,35.0137648415253,54.9472138980857
251.5,34.9631407802245,54.9376398139243
252,34.9803104427038,54.9793163691471
252.5,34.9202348925696,54.945489156898
253,35.0316252589776,54.9231245067162
253.5,34.9564110508272,54.8921707287554
254,34.9490349208564,54.9505371212735
254.5,34.9947142622068,54.95915661691
255,34.9937754235324,54.9492567300457
255.5,35.0231927080324,54.9192681695699
256,35.0061720701164,55.0030257486864
256.5,35.0338053204302,54.977063159734
257,35.0302516854772,54.9385906464277
257.5,35.0019711513457,54.9294112016191
258,35.0087345352169,54.9948576435533
258.5,34.9675843917317,54.9872443036545
259,34.9615565295472,54.9486362579791
259.5,34.9724918656303,54.9743057169222
260,34.9851861043474,54.9542907663008
260.5,34.9985425819222,54.9522710880823
261,34.9315646987184,54.9205552978096
261.5,34.9634222545537,54.9446579186812
262,34.9813205261583,54.9042159281744
262.5,35.0521777312053,54.8896103356465
263,34.9519507165395,54.935235675009
263.5,35.0079244462353,54.9020179818015
264,35.0095370407843,54.9615222532533
264.5,34.9897063670605,54.9013736891376
265,34.9956509470228,54.9229782469134
265.5,35.0606037559709,54.9484782232279
266,35.0147397277131,54.9635602925562
266.5,35.0418969136032,54.8899667055478
267,35.0336685166346,54.9384685750387
267.5,35.0136164042996,54.9330358381276
268,35.0307921451084,54.9742303129158
268.5,35.0806343819052,54.9552484351811
269,34.9964968263487,54.9812500458448
269.5,34.9881065773239,54.9182234954072
270,35.0201287637752,55.0032817971037
270.5,35.0113432863662,54.8724838670487
271,35.0472047908748,54.9999543222894
271.5,35.014719012734,54.9353977776846
272,35.0141327881479,54.9424947418628
272.5,34.9685984822269,54.8996187176073
273,34.9397728425882,54.9773286487266
273.5,35.0265970366425,54.9240927426064
274,34.9933287610006,54.9902923866342
274.5,34.9755815048382,54.9032062302597
275,35.003713072754,54.983961562706
275.5,35.015563095428,54.9418547324456
276,34.9941916981252,54.9644964326601
276.5,35.0119077189853,54.9838350816474
277,34.9960107433036,54.9131303382021
277.5,34.9948300608756,54.9290746147553
278,35.0007603016955,54.9054704561913
278.5,34.9716994220486,54.974513660507
279,34.9918193573898,54.9835374374764
279.5,35.037415052342,54.9627754338873
280,35.0218223449561,54.9335511289003
280.5,35.0218378686346,54.9737180536055
281,35.037745053315,54.9394586363979
281.5,35.0418041642102,54.9682571854677
282,34.9789733415324,54.917687317613
282.5,35.015458267693,54.9567830847849
283,34.955992325136,54.9709964810518
283.5,34.959825353425,54.9685764712108
284,34.9725085042821,54.9213724521428
284.5,34.9997387732564,55.0086963856281
285,34.9500183822762,54.941082466128
285.5,34.9665784153625,54.9625955613246
286,34.9963984980157,54.948191398503
286.5,34.9906578910048,54.9911310113062
287,35.0052642608858,54.9324838443778
287.5,34.9744715201475,54.9842234027148
288,34.9508207154928,54.9993823662631
288.5,34.9695796012135,54.9183616720363
289,35.0030525564931,54.9049323805925
289.5,35.0264747476074,54.9472185252085
290,34.9726995867735,54.9645462870304
290.5,35.0308929339596,54.9440051939596
291,34.9993589990402,54.9443933609412
291.5,35.0277455700159,54.9010599794261
292,34.9762154255008,54.9518180864923
292.5,34.966463457797,54.9483947595756
293,35.0407407887041,54.9801943586754
293.5,34.9956242310928,54.9580586036773
294,34.929797836081,54.9298750715822
294.5,35.0028422673937,54.9980453103855
295,35.0197432035171,54.9960748654359
295.5,34.9986809819289,54.935642314333
296,35.0098390758588,54.9151122197546
296.5,35.0299477561631,54.9313752612087
297,34.9993090610178,54.9900486670463
297.5,35.0529465270402,54.9539320128085
298,35.0250970103236,54.9302407766156
298.5,34.9983654005604,54.9373858832329
299,34.9890396899763,54.9779617030433
299.5,34.9661900422427,54.9103483445493
300,34.9722716230788,54.9230198634126
300.5,35.0233231401798,54.9348023289937
301,34.9773254184396,54.9269818238031
301.5,35.052842253108,54.9785455866434
302,34.9978152932785,55.0227247490125
302.5,34.9596884891062,54.9675446119369
303,35.012637581992,54.9579865141019
303.5,35.0426322814699,54.9985662186322
304,34.9918203686591,55.0080324905987
304.5,34.9524795624483,54.9553021190115
305,34.9917339587008,54.9836457241743
305.5,35.0144179687048,54.9527257063772
306,35.0473178409031,55.0088891618741
306.5,34.9904954605908,54.9912281566926
307,35.0362980381954,54.9739805940048
307.5,34.9994856412601,54.982043265722
308,35.0229369790202,54.9676832122846
308.5,35.0381431846191,54.944518595108
309,34.9917467862908,54.9402597507262
309.5,34.9262683821455,54.9225810935821
310,34.9392486653958,54.9486549970483
310.5,34.957477312935,54.9754474237295
311,35.0351984206203,54.9628555135053
311.5,35.0178318894038,54.9527157101308
312,34.9819879305537,54.9304412335732
312.5,35.038880121391,54.933139123248
313,34.9948719803135,54.964806669074
313.5,35.0001280954022,55.0133802316029
314,34.966585940412,54.9468715236751
314.5,34.9839973688392,54.9807713982441
315,34.9626011436732,54.9547763608093
315.5,34.9889675078715,54.9797424906252
316,34.9959134911867,54.9924416822059
316.5,35.0104467675773,54.9268692251531
317,34.9655455024798,54.9097248015524
317.5,34.9999917884803,54.9515130258456
318,34.944717713198,54.934681364323
318.5,34.9809063780671,54.997836118366
319,34.9594404145897,55.0259278373539
319.5,34.9952414402313,55.0113541508454
320,34.9500923537407,54.9791199043652
320.5,34.9688531133434,54.9807235279847
321,35.0408483126765,54.9393455085273
321.5,35.0047264493442,54.9490337503153
322,34.9940333645727,54.977720887387
322.5,34.9955911858049,54.9459240312503
323,35.0218169267896,54.9395640086699
323.5,34.983722107919,54.9070716598622
324,35.0018433662989,54.9646610102873
324.5,35.0021736397708,54.9772289994667
325,35.0221814601329,54.9866022443743
325.5,35.0252235291767,54.9384430013178
326,34.9785293942279,54.9842244903294
326.5,35.0172770301435,54.9648461041717
327,35.0207074075559,54.9205672346471
327.5,35.0422490122367,54.9675213423943
328,34.952177937805,54.9626901748507
328.5,34.9934396232728,54.9820168282875
329,34.9856168115631,54.9896881327916
329.5,35.0012136134105,54.9909871484587
330,35.0169813841143,54.957657181115
330.5,35.0081791545635,54.9584388917544
331,35.0618863559361,54.969022738922
331.5,35.0296250977144,55.0497817383734
332,35.0060991140575,54.9446816577966
332.5,34.9861251706882,54.9738646611964
333,34.9964309535388,55.0040978116881
333.5,34.9613580204522,54.9238909134681
334,34.9866396691124,54.9738546901231
334.5,35.0483852801461,54.9652610922295
335,35.0081689025903,54.973929088226
335.5,35.0170367926183,54.9722939896086
336,35.0601134777485,54.999935218641
336.5,35.007030942136,54.9280092444533
337,34.9951520866316,54.9991137327193
337.5,34.966612309065,54.965551925162
338,35.0008373876959,55.0599640678446
338.5,34.9755501716433,55.0047016929631
339,35.0247374123061,54.9701756401416
339.5,34.9455279732756,54.9543094588083
340,34.9963128180018,54.9577551166271
340.5,34.9460551634693,54.9261687964994
341,35.053652578617,54.9686307293736
341.5,35.0183012872193,54.9388358098511
