Time,fPLSP,cLO_measured
246.5,277.562007392888,14.8833205251799
247,278.324058956115,14.8836267941593
247.5,278.99222782702,14.8778948866012
248,277.594372970606,14.8801382474704
248.5,277.900670407621,14.8820351259991
249,277.716205633345,14.8790448480971
249.5,278.42878910455,14.884300976451
250,277.325529699841,14.876290589739
250.5,278.215381015024,14.8835442343073
251,277.977501337007,14.8765856459309
251.5,278.714682043856,14.8802337766264
252,277.997266417891,14.8776857953199
252.5,278.062313351459,14.8740170837763
253,278.410821318056,14.8781794059519
253.5,278.132109455351,14.8800784373571
254,278.924582305432,14.8782384420733
254.5,277.86609271525,14.8789760709088
255,277.8145001401,14.8757601230589
255.5,277.944810494648,14.8735374846817
256,278.080140045867,14.8787950204639
256.5,277.835187902652,14.8791702702908
257,278.394358472392,14.8794197301881
257.5,278.179241986473,14.8772490966009
258,277.421010065536,14.8802522468967
258.5,277.761065228886,14.8740146338975
259,278.381655544275,14.8848125394913
259.5,278.137318291039,14.883483524832
260,277.478797008679,14.8780012073764
260.5,278.613586320351,14.8792113711887
261,277.8113088899,14.8806853616789
261.5,278.225268193292,14.8887164127515
262,277.601013331089,14.8784588464552
262.5,278.336891625156,14.8773119208835
263,277.863257924974,14.8825311674834
263.5,278.922103306513,14.8787646740369
264,278.261102258984,14.8859674717236
264.5,277.622917731849,14.8811679815626
265,277.655320816837,14.8758708832664
265.5,277.865996814745,14.879891197177
266,277.659376291159,14.8864396047801
266.5,277.488691093072,14.877076432711
267,277.737005806201,14.8803755927246
267.5,277.865921384949,14.8782273174952
268,277.555330875596,14.8776712402023
268.5,277.726364146313,14.8805048190052
269,277.697997825099,14.8779076792003
269.5,277.896400013531,14.8776869714752
270,278.367646198944,14.8821582165211
270.5,277.965774185894,14.8763241179803
271,277.976063314118,14.8773921443701
271.5,278.134486578091,14.8818023517968
272,278.708256456965,14.880418314862
272.5,277.784874519244,14.8830346052588
273,278.007688180757,14.8850364674208
273.5,277.413645829338,14.8782407790392
274,277.450637354015,14.8781942402563
274.5,277.134565421053,14.8823280464319
275,278.450345734626,14.8812149686255
275.5,278.364524270538,14.8803590255139
276,278.072978999998,14.8828873178369
276.5,278.338023800555,14.8806899150885
277,278.451255012178,14.8814774351151
277.5,277.99007047336,14.8787020000607
278,278.25053895984,14.8796426168131
278.5,278.354427298482,14.8822964339566
279,278.075855405622,14.8755273016815
279.5,278.2008961469,14.8841233856831
280,278.123990547885,14.878871029317
280.5,278.849183659949,14.8778288025301
281,278.025101325958,14.8814378864483
281.5,278.139410796582,14.8818276594719
282,278.694004463437,14.8835513386143
282.5,277.609005127039,14.8767381824153
283,277.996864438989,14.8797900317577
283.5,277.791527661256,14.8753282911055
284,277.882130723096,14.8827494392307
284.5,277.713162798812,14.8865657771555
285,278.563837687747,14.883855015125
285.5,277.648006989371,14.879228908218
286,278.249194487367,14.8848417347675
286.5,277.951539527101,14.8796451322796
287,277.61808457061,14.8794092251944
287.5,278.124720011265,14.8868195053291
288,278.499614189941,14.8773230273747
288.5,277.216267026892,14.8767497737641
289,277.733761109598,14.8866090042636
289.5,278.796217721399,14.8807225307857
290,278.382003159816,14.8811410240091
290.5,277.705595667248,14.8745476272619
291,277.901131083164,14.879086284404
291.5,279.069583001852,14.8773257428077
292,277.772352347593,14.8822404228173
292.5,277.810501017776,14.8806978244134
293,277.570295605827,14.8763757754323
293.5,278.275061712313,14.8800671467534
294,278.219883359244,14.8816139086488
294.5,278.651399551696,14.8814424738314
295,278.490568907668,14.8800512915582
295.5,277.701744074921,14.8882015228711
296,277.464973808114,14.8830056959458
296.5,277.594226157462,14.8809628209895
297,278.301185262179,14.8836211697433
297.5,277.740959254312,14.8803776366846
298,278.2874857194,14.8771613626829
298.5,276.823929225663,14.8775341106498
299,278.670821112364,14.882834963219
299.5,277.73639091667,14.8788565101931
300,278.253723299842,14.8844006489139
300.5,277.893522786004,14.8810490502969
301,277.695411107544,14.882894342396
301.5,278.331637142539,14.8783892327432
302,279.321191344571,14.8834864407804
302.5,277.634063683296,14.8814044949637
303,278.099925088071,14.87851127766
303.5,277.507142272864,14.8835025592682
304,277.845121344999,14.8807600959028
304.5,277.145695214513,14.8794309253151
305,277.899465977499,14.8749461058473
305.5,277.877378878195,14.8782823684558
306,278.683921915606,14.8782488340637
306.5,278.565311680156,14.8786481287155
307,277.616812617925,14.8794082898262
307.5,277.542013870765,14.8757049714119
308,277.688930945074,14.8818897293488
308.5,277.425605883609,14.8799861611199
309,277.789024138676,14.8805299628958
309.5,278.234167303905,14.8812678846429
310,277.435501978522,14.8790279885124
310.5,278.250572603065,14.885091817645
311,277.882298123728,14.8780252389733
311.5,277.401232391973,14.8783511500434
312,278.406614882988,14.8784507350254
312.5,277.641981171384,14.8795326077882
313,278.379830691225,14.8792927324831
313.5,278.202175120146,14.8846474719386
314,277.909133327166,14.87741206297
314.5,278.555773344675,14.8805474350755
315,277.669950702192,14.8758240053193
315.5,277.57187576681,14.8797215656126
316,278.018635237348,14.8799837140334
316.5,277.654066718039,14.8814129076982
317,277.226692598431,14.8840855297872
317.5,278.643282678521,14.877855611759
318,277.627896538813,14.8767991649319
318.5,277.567638761797,14.8762550563137
319,278.311770866139,14.8754042317787
319.5,278.249336326908,14.8786587499939
320,277.584649494098,14.8839107030195
320.5,278.224889554832,14.8819160000024
321,278.667199706233,14.8785192171346
321.5,277.010085384541,14.8811464683655
322,277.825986766148,14.8785747122171
322.5,278.299423312459,14.8825126215777
323,277.919620702672,14.8817105436934
323.5,278.423986047778,14.8758192882991
324,278.290233275363,14.8757234438811
324.5,277.5910529605,14.8860602317794
325,277.947379978084,14.8753940600608
325.5,277.89000671148,14.8853956459283
326,277.187906167805,14.8766551343673
326.5,277.805940319742,14.8828934174742
327,278.040441699123,14.8807411850057
327.5,277.838570405316,14.87869582765
328,277.688788108951,14.8780679341023
328.5,277.957307077208,14.877129904113
329,277.948611461016,14.8814756330238
329.5,277.748927225537,14.8839603512148
330,277.602279231481,14.8759014010041
330.5,277.332284084641,14.8811756257443
331,277.260612364072,14.8835029951748
331.5,277.553048801553,14.8792192203146
332,278.212121328633,14.8787682720877
332.5,278.184264782727,14.8828289103953
333,278.299294364871,14.8760048502935
333.5,278.65534922462,14.8813729407023
334,277.404547697467,14.87498209602
334.5,277.774937468336,14.8822953832743
335,277.538910552968,14.8843340522691
335.5,277.759873002563,14.8774316350164
336,277.906862321272,14.8826569559111
336.5,278.548606779565,14.8781849767024
337,278.647281893172,14.8819896915268
337.5,278.243444512091,14.8780037305309
