Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,f6_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
2940,14.83,55.4,280.83,281.85,291.04,198.94,7.05,35.14,0,0.03,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.8252575072268,0,55.4000166476828,1,1,0,0,0
2970,14.79,55.52,280.79,288.29,286.23,198.95,7.01,35.13,0.01,0.02,0.92,0.51,0.51,0.51,0.51,0,0,0,0,14.7864558819114,0,55.5182231986964,1,1,0,0,0
3000,14.91,55.03,291.23,285.41,297.51,199.08,7.07,35.11,0,0,0.87,0.53,0.53,0.51,0.51,0,0,0,0,14.9138715778638,0,55.0329498252279,1,1,0,0,0
3030,14.72,55.57,276.74,292.23,281.63,201.79,6.98,35.15,0,0.01,0.89,0.51,0.51,0.52,0.52,0,0,0,0,14.7165121348407,0,55.5667025515612,1,1,0,0,0
3060,15.02,55.04,284.57,285.53,285.81,194.44,7.04,35.13,0.03,0.02,0.84,0.52,0.52,0.51,0.51,0,0,0,0,15.0239518480873,0,55.0369687221203,1,1,0,0,0
3090,14.74,55.43,288.88,280,281.25,198.33,7.02,35.15,0.03,0.02,0.89,0.52,0.52,0.51,0.51,0,0,0,0,14.7371402855996,0,55.4284596582283,1,1,0,0,0
3120,14.84,55.35,284.06,291.91,294.03,192.48,7.02,35.13,0,0.01,0.93,0.52,0.52,0.51,0.51,0,0,0,0,14.8443595530549,0,55.3467669622438,1,1,0,0,0
3150,14.99,54.92,276.13,280.55,284.05,197.6,7.06,35.13,0.05,0.02,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.9937450195228,0,54.9221447456042,1,1,0,0,0
3180,14.91,55.27,278.78,284.48,279.52,197.59,7.05,35.15,0.01,0,0.9,0.51,0.51,0.51,0.51,0,0,0,0,14.9084940827567,0,55.2667402071018,1,1,0,0,0
3210,14.85,55.09,285.1,281.98,295.07,200.51,7.02,35.16,0.04,0,0.94,0.51,0.51,0.51,0.51,0,0,0,0,14.849193676837,0,55.0921159857682,1,1,0,0,0
3240,14.93,55,278.64,279.54,287.92,193.35,7.03,35.16,0,0,0.9,0.51,0.51,0.51,0.51,0,0,0,0,14.9321089885219,0,55.0041358777839,1,1,0,0,0
3270,15.02,54.88,281.43,278.7,283.54,201.14,7.02,35.18,0,0.06,0.9,0.51,0.51,0.51,0.51,0,0,0,0,15.016226544793,0,54.87931159193,1,1,0,0,0
3300,14.75,55.39,291.77,283.37,284.15,202.91,6.97,35.14,0.01,0,0.91,0.52,0.52,0.51,0.51,0,0,0,0,14.7485436039541,0,55.3850520728043,1,1,0,0,0
3330,14.83,55.21,279.4,287.5,281.4,199.11,7,35.15,0,0.04,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.8302174245852,0,55.2142125207897,1,1,0,0,0
3360,14.91,55.2,277,284.9,276.61,204.04,7,35.13,0.01,0.01,0.83,0.51,0.51,0.51,0.51,0,0,0,0,14.9058944241604,0,55.200851351491,1,1,0,0,0
3390,14.8,55.24,275.16,290.25,281.97,197.42,7.03,35.17,0.06,0.03,0.91,0.51,0.51,0.51,0.51,0,0,0,0,14.7983844514163,0,55.2415233720942,1,1,0,0,0
3420,15.07,54.57,275.98,288.73,285.7,196.76,7.02,35.12,0.05,0.02,0.85,0.51,0.51,0.51,0.51,0,0,0,0,15.0712337767198,0,54.5713563146556,1,1,0,0,0
3450,14.86,55.12,281.08,290.83,290.98,202.91,7.03,35.12,0.03,0,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.8616398900484,0,55.1189185207059,1,1,0,0,0
3480,14.86,55.35,281.05,287.6,287.5,206.99,6.99,35.11,0,0.03,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.8554137100485,0,55.3547736958631,1,1,0,0,0
3510,14.95,55.11,281.26,279.58,283.34,198.37,7.02,35.19,0.02,0.01,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.9542303659756,0,55.1125528693511,1,1,0,0,0
3540,14.58,55.96,284.55,280.95,292.36,200.29,7.03,35.13,0,0,0.94,0.51,0.51,0.52,0.52,0,0,0,0,14.575306297152,0,55.9625547701585,1,1,0,0,0
3570,14.94,54.99,281.97,289.81,279.73,197.72,7.01,35.12,0.03,0,0.88,0.52,0.52,0.51,0.51,0,0,0,0,14.9354891123855,0,54.9946110084521,1,1,0,0,0
3600,14.94,55.28,280.89,290.07,292.13,201.92,7.01,35.18,0.04,0.01,0.95,0.52,0.52,0.52,0.52,0,0,0,0,14.9362657638499,0,55.2756496928214,1,1,0,0,0
3630,15.08,54.87,284.46,295.26,296.98,197.37,7.05,35.14,0,0.03,0.92,0.53,0.53,0.51,0.51,0,0,0,0,15.0789058868527,0,54.8677057929265,1,1,0,0,0
3660,14.99,54.9,274.62,286.77,295.61,194.92,7.03,35.15,0.05,0.01,0.83,0.51,0.51,0.51,0.51,0,0,0,0,14.9935664500754,0,54.902000688346,1,1,0,0,0
3690,14.69,54.99,284.02,290.52,285.12,204.81,7.02,35.14,0,0,0.87,0.52,0.52,0.51,0.51,0,0,0,0,14.6899643216333,0,54.9884959821615,1,1,0,0,0
3720,14.97,55.11,285.53,288.94,289.4,192.19,7.04,35.18,0.04,0,0.85,0.52,0.52,0.52,0.52,0,0,0,0,14.9742230495438,0,55.1147481042083,1,1,0,0,0
3750,14.81,55.03,289.69,288.1,283.86,201.42,6.96,35.13,0,0.02,0.91,0.52,0.52,0.51,0.51,0,0,0,0,14.8133373567064,0,55.0277470415433,1,1,0,0,0
3780,14.99,54.86,279.33,289.57,286.06,196.67,7,35.12,0,0,0.88,0.51,0.51,0.51,0.51,0,0,0,0,14.9916476581987,0,54.8554632549042,1,1,0,0,0
3810,14.83,55.12,280.17,284.95,279.41,200.07,7.03,35.17,0.04,0.03,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.8342318801701,0,55.1185986427646,1,1,0,0,0
3840,14.92,55.22,276.9,285.94,294.46,202.09,7.03,35.2,0,0,0.93,0.51,0.51,0.52,0.52,0,0,0,0,14.9182339698914,0,55.217657600791,1,1,0,0,0
3870,14.93,54.98,281.01,288.17,282.79,198.28,7.03,35.23,0.01,0.04,0.91,0.52,0.52,0.52,0.52,0,0,0,0,14.9345120013293,0,54.9831326850276,1,1,0,0,0
3900,14.83,55.35,275.52,296.9,288.77,196.4,7.05,35.18,0,0,0.92,0.52,0.52,0.52,0.52,0,0,0,0,14.8250794456754,0,55.3522089524308,1,1,0,0,0
3930,14.88,55.22,278,287.96,283.57,200.67,7.03,35.2,0,0,0.93,0.51,0.51,0.52,0.52,0,0,0,0,14.8796635658736,0,55.2220870380216,1,1,0,0,0
3960,14.81,55.12,284.12,291.73,286.23,200.29,7.05,35.17,0.05,0.02,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.8067801334165,0,55.1232678895136,1,1,0,0,0
3990,14.84,55.15,283.81,281.39,279.65,198.46,7,35.19,0.02,0.04,0.92,0.51,0.51,0.52,0.52,0,0,0,0,14.8401786214138,0,55.1454311992034,1,1,0,0,0
4020,14.89,54.95,281.15,295.25,288.76,197.81,7.02,35.2,0,0,0.88,0.52,0.52,0.51,0.51,0,0,0,0,14.8907215357165,0,54.9511852425759,1,1,0,0,0
4050,14.86,54.99,274.54,290.19,283,205.99,7.03,35.17,0,0.01,0.88,0.51,0.51,0.51,0.51,0,0,0,0,14.8631217259516,0,54.9883609075351,1,1,0,0,0
